Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
6.0000	0.40000	80.552	0.012414	9.3884	14.354	2.2123	3.0577	20.521	131.29	3.2590	2.5149	0.019280	supercritical
6.1000	0.40000	72.262	0.013839	10.907	16.442	2.5574	3.1166	20.506	128.87	3.7000	2.4106	0.018465	supercritical
6.2000	0.40000	65.445	0.015280	12.264	18.376	2.8718	3.1324	18.078	129.05	3.9445	2.3377	0.017769	supercritical
6.3000	0.40000	60.157	0.016623	13.417	20.066	3.1424	3.1273	15.821	130.02	4.0893	2.2901	0.017248	supercritical
6.4000	0.40000	55.970	0.017867	14.411	21.558	3.3774	3.1161	14.101	131.25	4.1778	2.2588	0.016877	supercritical
6.5000	0.40000	52.554	0.019028	15.289	22.900	3.5855	3.1048	12.806	132.62	4.2279	2.2380	0.016613	supercritical
6.6000	0.40000	49.695	0.020123	16.080	24.129	3.7732	3.0953	11.816	134.08	4.2508	2.2243	0.016427	supercritical
6.7000	0.40000	47.251	0.021164	16.805	25.271	3.9448	3.0881	11.045	135.59	4.2546	2.2158	0.016300	supercritical
6.8000	0.40000	45.126	0.022160	17.479	26.344	4.1038	3.0831	10.431	137.14	4.2449	2.2111	0.016217	supercritical
6.9000	0.40000	43.253	0.023120	18.113	27.361	4.2523	3.0800	9.9334	138.71	4.2254	2.2092	0.016170	supercritical
7.0000	0.40000	41.582	0.024049	18.714	28.333	4.3922	3.0783	9.5217	140.29	4.1988	2.2096	0.016150	supercritical
7.1000	0.40000	40.079	0.024951	19.287	29.267	4.5247	3.0778	9.1757	141.87	4.1666	2.2117	0.016153	supercritical
7.2000	0.40000	38.715	0.025829	19.838	30.170	4.6510	3.0781	8.8806	143.46	4.1304	2.2154	0.016172	supercritical
7.3000	0.40000	37.470	0.026688	20.370	31.045	4.7716	3.0791	8.6255	145.03	4.0908	2.2202	0.016206	supercritical
7.4000	0.40000	36.327	0.027528	20.885	31.896	4.8875	3.0805	8.4027	146.59	4.0487	2.2260	0.016251	supercritical
7.5000	0.40000	35.271	0.028352	21.386	32.726	4.9989	3.0822	8.2060	148.15	4.0046	2.2327	0.016305	supercritical
7.6000	0.40000	34.293	0.029161	21.874	33.538	5.1064	3.0841	8.0308	149.68	3.9590	2.2401	0.016367	supercritical
7.7000	0.40000	33.382	0.029956	22.351	34.333	5.2104	3.0860	7.8738	151.21	3.9122	2.2482	0.016434	supercritical
7.8000	0.40000	32.532	0.030739	22.817	35.113	5.3110	3.0880	7.7320	152.71	3.8645	2.2568	0.016505	supercritical
7.9000	0.40000	31.735	0.031511	23.276	35.880	5.4087	3.0900	7.6032	154.20	3.8162	2.2658	0.016581	supercritical
8.0000	0.40000	30.987	0.032272	23.725	36.634	5.5036	3.0919	7.4857	155.68	3.7676	2.2753	0.016660	supercritical
8.1000	0.40000	30.282	0.033023	24.168	37.377	5.5959	3.0937	7.3779	157.13	3.7188	2.2851	0.016741	supercritical
8.2000	0.40000	29.616	0.033765	24.604	38.110	5.6858	3.0954	7.2788	158.57	3.6700	2.2952	0.016824	supercritical
8.3000	0.40000	28.987	0.034498	25.034	38.833	5.7735	3.0970	7.1872	159.99	3.6213	2.3057	0.016909	supercritical
8.4000	0.40000	28.390	0.035224	25.458	39.548	5.8590	3.0985	7.1023	161.39	3.5728	2.3163	0.016995	supercritical
8.5000	0.40000	27.823	0.035941	25.877	40.254	5.9426	3.0999	7.0235	162.77	3.5247	2.3272	0.017083	supercritical
8.6000	0.40000	27.284	0.036652	26.292	40.953	6.0243	3.1012	6.9500	164.14	3.4769	2.3383	0.017171	supercritical
8.7000	0.40000	26.770	0.037356	26.702	41.644	6.1043	3.1025	6.8814	165.49	3.4297	2.3496	0.017260	supercritical
8.8000	0.40000	26.279	0.038053	27.108	42.329	6.1826	3.1036	6.8172	166.82	3.3829	2.3611	0.017350	supercritical
8.9000	0.40000	25.810	0.038745	27.510	43.008	6.2592	3.1046	6.7570	168.14	3.3368	2.3726	0.017441	supercritical
9.0000	0.40000	25.361	0.039431	27.908	43.681	6.3344	3.1056	6.7004	169.44	3.2913	2.3843	0.017532	supercritical
9.1000	0.40000	24.931	0.040111	28.303	44.348	6.4082	3.1064	6.6472	170.73	3.2464	2.3961	0.017624	supercritical
9.2000	0.40000	24.518	0.040787	28.695	45.010	6.4805	3.1072	6.5970	172.00	3.2022	2.4081	0.017716	supercritical
9.3000	0.40000	24.121	0.041457	29.085	45.667	6.5516	3.1080	6.5496	173.25	3.1587	2.4201	0.017808	supercritical
9.4000	0.40000	23.740	0.042123	29.471	46.320	6.6214	3.1086	6.5048	174.50	3.1159	2.4321	0.017900	supercritical
9.5000	0.40000	23.373	0.042785	29.855	46.968	6.6900	3.1093	6.4624	175.72	3.0738	2.4443	0.017993	supercritical
9.6000	0.40000	23.019	0.043442	30.236	47.613	6.7575	3.1098	6.4222	176.94	3.0325	2.4565	0.018085	supercritical
9.7000	0.40000	22.678	0.044096	30.615	48.253	6.8238	3.1103	6.3841	178.14	2.9918	2.4688	0.018178	supercritical
9.8000	0.40000	22.349	0.044745	30.991	48.890	6.8891	3.1108	6.3479	179.33	2.9519	2.4811	0.018271	supercritical
9.9000	0.40000	22.031	0.045391	31.366	49.523	6.9534	3.1112	6.3134	180.51	2.9127	2.4935	0.018364	supercritical
10.000	0.40000	21.723	0.046034	31.739	50.152	7.0167	3.1116	6.2806	181.67	2.8741	2.5059	0.018457	supercritical
10.100	0.40000	21.426	0.046673	32.110	50.779	7.0790	3.1120	6.2494	182.82	2.8363	2.5184	0.018550	supercritical
10.200	0.40000	21.138	0.047309	32.479	51.402	7.1404	3.1123	6.2196	183.97	2.7992	2.5308	0.018643	supercritical
10.300	0.40000	20.858	0.047942	32.846	52.023	7.2010	3.1127	6.1911	185.10	2.7627	2.5433	0.018736	supercritical
10.400	0.40000	20.588	0.048572	33.212	52.641	7.2607	3.1129	6.1639	186.22	2.7270	2.5559	0.018828	supercritical
10.500	0.40000	20.325	0.049200	33.576	53.256	7.3195	3.1132	6.1380	187.33	2.6918	2.5684	0.018921	supercritical
10.600	0.40000	20.071	0.049824	33.938	53.868	7.3776	3.1135	6.1131	188.42	2.6574	2.5810	0.019013	supercritical
10.700	0.40000	19.823	0.050446	34.300	54.478	7.4349	3.1137	6.0893	189.51	2.6236	2.5935	0.019106	supercritical
10.800	0.40000	19.583	0.051066	34.660	55.086	7.4914	3.1139	6.0664	190.59	2.5903	2.6061	0.019198	supercritical
10.900	0.40000	19.349	0.051683	35.018	55.692	7.5472	3.1141	6.0445	191.66	2.5578	2.6187	0.019290	supercritical
11.000	0.40000	19.121	0.052298	35.376	56.295	7.6023	3.1143	6.0235	192.73	2.5258	2.6313	0.019382	supercritical
11.100	0.40000	18.900	0.052910	35.732	56.896	7.6567	3.1144	6.0033	193.78	2.4944	2.6439	0.019474	supercritical
11.200	0.40000	18.684	0.053521	36.087	57.496	7.7105	3.1146	5.9840	194.82	2.4636	2.6565	0.019566	supercritical
11.300	0.40000	18.474	0.054129	36.441	58.093	7.7636	3.1147	5.9653	195.86	2.4333	2.6691	0.019657	supercritical
11.400	0.40000	18.270	0.054736	36.794	58.689	7.8161	3.1149	5.9474	196.88	2.4036	2.6817	0.019749	supercritical
11.500	0.40000	18.070	0.055340	37.146	59.283	7.8679	3.1150	5.9301	197.90	2.3744	2.6943	0.019840	supercritical
11.600	0.40000	17.875	0.055943	37.498	59.875	7.9192	3.1151	5.9135	198.91	2.3458	2.7069	0.019931	supercritical
11.700	0.40000	17.685	0.056544	37.848	60.465	7.9699	3.1153	5.8974	199.92	2.3176	2.7195	0.020021	supercritical
